word	translation	notes	date
Die Morgenröte	dawn glow / morning red	maditas fav german word	2025-04-30 18:31:42
bleib	to stay	emir zurich mcdonalds - bleib einfach sitzen	2025-05-01 09:59:00
das Loch	hole	walking in zurich emir saw it lol	2025-05-01 16:43:00
die Schokolade	chocolate	Lindt Home of Chocolate	2025-05-02 09:00:00
die Quelle	source	kulturama museum in zurich	2025-05-03 11:34:00
das Obergeschoss	upper floor	ub	2025-05-04 11:39:37
erklären	to explain	„Ich erkläre es später. Persönlich.“	2025-05-04 16:00:00
später	later		2025-05-04 16:03:00
persönlich	personally / in person		2025-05-04 16:06:00
das Ende	end	„Ich habe diesen Brief in meinem Hotelzimmer in Zürich angefangen – am Ende des ersten Tages.“	2025-05-04 16:09:00
die Planung	planning	„Planung und Anpassung der Pläne“	2025-05-04 16:12:00
die Anpassung	adjustment / adaptation		2025-05-04 16:15:00
der Plan	plan		2025-05-04 16:18:00
das Museum	museum	„Fußball spielen im FIFA-Museum“	2025-05-04 16:20:00
die Bootstour	boat tour	„Bootstour um den See“	2025-05-04 16:21:00
die Seife	soap		2025-05-04 16:21:00
der See	lake		2025-05-04 16:24:00
die Getränke	drinks		2025-05-04 16:26:00
der Mitarbeiter	employee (male)		2025-05-04 16:28:00
Wandern	hiking		2025-05-04 16:29:00
Joggen	jogging	„Joggen und dann im Fluss mit Strömung geschwommen“	2025-05-04 16:32:00
der Fluss	river		2025-05-04 16:35:00
die Strömung	current		2025-05-04 16:38:00
die Postkarte	postcard	„Grossmünster und Postkarten kaufen :D“	2025-05-04 16:38:00
das Taschenmesser	pocket knife	Victorinox-Taschenmesser	2025-05-04 16:41:00
eingravieren	to engrave		2025-05-04 16:42:00
das Portemonnaie	wallet	„Ich habe mein Portemonnaie verloren :(“	2025-05-04 16:44:00
ingesamt	overall / all in all	„Insgesamt war es eine vollgepackte, aber schöne Reise.“	2025-05-04 16:47:00
vollgepackt	packed / full 		2025-05-04 16:48:00
die Reise	trip / journey		2025-05-04 16:50:00
kommend	coming / upcoming	„Ich freue mich auf unseren kommenden Filmabend.“	2025-05-04 16:51:00
dort	there	„Wir sehen uns dort!“	2025-05-04 16:54:00
aufpassen	to take care / to watch out	„Pass auf dich auf :)“	2025-05-04 16:57:00
zählen	to count	„X neue Wörter im letzten Brief, dessen Wörter ich zu zählen versprochen habe.“	2025-05-04 16:59:00
abgemacht	agreed	ella - temple grandin other half	2025-05-04 20:41:13
Mitreden	to have a say / to join in the conversation	mit: with , reden: to talk	2025-05-05 05:00:00
Mitgestalten	to help shape / co-create	mit: with , gestalten: to shape/design	2025-05-05 05:03:00
Mitentscheiden	to take part in deciding / co-decide	mit: with , entscheiden: to decide	2025-05-05 05:06:00
die Vollversammlung	general assembly	voll + (ver + sammeln + ung)	2025-05-05 07:09:44
zubereiten	to prepare	„Bananenbrot zubereiten“	2025-05-05 17:46:30
wen juckt’s	who cares?	theo ann so ?	2025-05-06 16:26:00
auf dass	may …	auf dass du weiter blühst	2025-05-07 19:44:11
weiter	further / continue to		2025-05-07 19:47:00
blühsen	to bloom/blossom/flourish		2025-05-07 19:50:00
Skalierung	scaling		2025-05-09 12:30:00
Seiten pro Blatt	pages per sheet		2025-05-09 12:33:00
Ränder	margins		2025-05-09 12:36:00
Beidseitiger Druck	double sided print		2025-05-09 12:39:00
Einstellungen	settings		2025-05-09 12:42:00
Abbrechen	to cancel		2025-05-09 12:45:00
Ründchen	little loop / short round trip	ella strava - “Ründchen vor’m Schwimmen”	2025-05-09 12:48:00
vor dem	before the	vor’m	2025-05-09 12:51:00
bumsen	to have sex (bum)	sirin - “Kann ich dich bumsen?”	2025-05-09 12:54:00
der Wahnsinniger 	madman / maniac	simon - “Du Wahnsinniger!” , wahn+sinn+ig+er	2025-05-09 20:44:21
wahnsinnig	lunatic / maniac / mad	adj	2025-05-09 20:47:21
der Wahnsinn	madness / insanity / craziness	wahn + sinn : delusion sense	2025-05-09 20:50:21
der Wahn	delusion / illusion / mania		2025-05-09 20:53:21
der Sinn	sense / meaning / mind	fünf Sinne , Sinn machen , Sinn des Lebens , Unsinn , Blödsinn	2025-05-09 20:56:21
die Menschen	people / humans	ella strava - „Traum mit Tri-Menschen“	2025-05-10 13:03:00
der Mensch	person / human being		2025-05-10 13:06:00
rauchen	to smoke	„Vielleicht solltest du heute nicht rauchen.“	2025-05-10 20:59:52
der Laufgürtel	running belt	giulia - fitgriff on the heater to dry	2025-05-12 17:00:00
der Gürtel	belt		2025-05-12 17:03:00
der Vergleich	comparison		2025-05-12 17:06:00
vergleichen	to compare		2025-05-12 17:09:00
die Nachricht	message	tabea	2025-05-13 17:59:59
die Empfehlung	recommendation / suggestion	tabea - wok sushi	2025-05-13 18:02:59
verkhartat	drunk	max hugging annso	2025-05-15 19:57:00
trimmdich	??? 	annso	2025-05-15 20:10:00
entschuldigen	to excuse / to apologize	ent-Schul-igen 	2025-05-16 19:00:00
die Schuld	guilt / fault / debt	entschuld	2025-05-16 19:03:00
vorgestern	day before yesterday	Vorgestern Abend habe ich meinen ersten Pull-up ohne Springen geschafft!	2025-05-16 19:06:00
ohne	without		2025-05-16 19:09:00
das Springen	jumping		2025-05-16 19:12:00
schaffen	to accomplish / to manage / to achieve / succeed		2025-05-16 19:15:00
weiter üben	to continue practicing	„Ich werde weiter üben, sodass ich das zuverlässig immer schaffe – vielleicht klappen ja irgendwann sogar zwei bis drei Wiederholungen.“	2025-05-16 19:18:00
sodass	so that		2025-05-16 19:21:00
zuverlässig	reliable / reliably	zu-verlass-ig , able to be relied on	2025-05-16 19:24:00
der Verlass	reliance / dependability		2025-05-16 19:27:00
verlassen	to leave / to rely on	ver-lassen , sich auf jemanden verlassen	2025-05-16 19:30:00
lassen	to let / allow		2025-05-16 19:33:00
klappen	to work out / to go smoothly / to succeed	to fold -> folding into place	2025-05-16 19:36:00
sogar	even / actually / in fact		2025-05-16 19:39:00
die Wiederholung	repetition / repeat	wieder-holen 	2025-05-16 19:42:00
holen	to fetch / to bring		2025-05-16 19:45:00
das Neue	the new (thing/s)	„Ähm… so viel Neues gibt es abgesehen davon nicht zu erzählen.“	2025-05-16 19:48:00
neu	new		2025-05-16 19:51:00
abgesehen davon	apart from that		2025-05-16 19:54:00
wie immer	as always	„Alles läuft gut wie immer und alles macht Spaß.“	2025-05-16 19:57:00
mittlerweile	by now / meanwhile / in the mean time 	„Mittlerweile glaube ich auch, dass dieser Sommer sehr sehr aufregend wird.“  	2025-05-16 20:00:00
die Weile	a while	eine Weile warten	2025-05-16 20:03:00
mittel 	middle		2025-05-16 20:06:00
weinen	to cry	das baby weint	2025-05-17 10:46:51
unruhig	not calm		2025-05-17 10:49:51
ruhig	calm, quiet		2025-05-17 10:52:51
müde	tired / sleepy / exhausted		2025-05-17 10:55:51
der Mut	courage / spirit		2025-05-17 10:58:51
liege	to lie (rest position)	„Er ist müde, obwohl er den ganzen Tag im Bett gelegen hat.“	2025-05-17 11:01:51
das Bett	bed		2025-05-17 11:04:51
um Entschuldigung bitten  	to ask for forgiveness / to apologize	“Ich bitte um Entschuldigung”	2025-05-17 11:07:51
der Papagai	parrot		2025-05-17 11:10:51
der Wortschatz	vocabulary / lexicon	wort+schatz , word treasure	2025-05-17 11:13:51
der Schatz	treasure		2025-05-17 16:20:13
die Kunst	art	können , to be able , skill , craft	2025-05-17 16:23:13
die Galerie	gallery	ein Ort, an dem Kunst gezeigt wird	2025-05-17 16:26:13
die Zeichnung	drawing / sketch / illustration	ein Bild, das aus Strichen oder Linien besteht	2025-05-17 20:27:45
zeichen	to draw		2025-05-17 20:30:45
das Zeichen	sign, symbol		2025-05-17 20:33:45
das Bild	picture / image		2025-05-17 20:36:45
bilden	to form / to shape		2025-05-17 20:39:45
der Strich	stroke / dash		2025-05-17 20:42:45
streichen	to stroke / to paint		2025-05-17 20:45:45
die Linie	line		2025-05-17 20:48:45
bestehen aus	to consist of	aus + D	2025-05-17 20:51:45
die Skulptur	sculpture	eine Figur, die von einem Künstler oder einer Künstlerin aus einem festen Material (z. B. Holz oder Stein) herausgearbeitet wurde	2025-05-17 20:54:45
die Figur	figure		2025-05-17 20:57:45
der Künstler	(male) artist		2025-05-17 21:00:45
die Künstlerin	(female) artist		2025-05-17 21:03:45
das Material	material		2025-05-17 21:06:45
das Stein	stone		2025-05-17 21:09:45
herausarbeiten	to carve out / work out	heraus-arbeiten	2025-05-17 21:12:45
fest	firm / solid		2025-05-17 21:15:45
etwas bereichern	to enrich/enhance something	etwas wertvoller machen 	2025-05-17 21:18:45
wertvoll 	valuable	wert+voll , full of value	2025-05-17 21:21:45
der Wert	value		2025-05-17 21:24:45
mit etwas nichts anfangen können	to not be able to do anything with something	umgangssprachlich für: keinen Bezug zu etwas haben	2025-05-17 21:27:45
radler	r	giu	2025-05-18 15:32:00
spaßgetranke	d	giu	2025-05-18 15:35:00
pancakes zu snort	c	clemens	2025-05-21 19:22:01
kühlschrank	fridge	sirin	2025-05-23 15:10:00
spielplatz	playground	sirin	2025-05-23 15:13:00
schnapper	firsat	maya	2025-05-23 18:00:00
ansage	saying	simon	2025-05-23 18:15:00
bomachine	s	hannes not child name	2025-05-24 19:08:40
Glückwunsch	congratulations		2025-05-26 23:33:32
stolz	proud		2025-05-26 23:36:32
der Gegensatz	contrast		2025-05-26 23:39:32
benebelt	foggy / clouded		2025-05-26 23:42:32
Gefühl	feeling		2025-05-26 23:45:32
Leben	life		2025-05-26 23:48:32
hinterkommen	to keep up		2025-05-26 23:51:32
perfektionieren	to perfect		2025-05-26 23:54:32
zu Besuch kommen	come to visit		2025-05-26 23:57:32
die Neuigkeiten	news / new things / updates	neu + igkeit + en	2025-05-27 00:00:32
sagen	to say		2025-05-27 00:03:32
der Vorschlag	suggestion		2025-05-27 00:06:32
das Lauftraining	running practice		2025-05-27 00:09:32
hingehen	to go to a place		2025-05-27 00:12:32
frühzeitig	early		2025-05-27 00:15:32
abbrechen	quit		2025-05-27 00:18:32
die Muskeln	muscles		2025-05-27 00:21:32
der Körper	body		2025-05-27 00:24:32
stören	to bother		2025-05-27 00:27:32
die Sache	thing		2025-05-27 00:30:32
das Wörterbuch	dictionary		2025-05-27 00:33:32
sich Zeit lassen	to take one's time / to not rush		2025-05-27 00:36:32
anstregend	exasting		2025-05-27 07:54:00
praxis	cl		2025-05-27 07:57:00
anarkant	recognised	tabea	2025-05-27 17:48:00
unternehmensrechnung	coorprate accounting	tabea	2025-05-27 17:51:00
die Fensterbank	windowsill	simon - plant pot the girl in the window	2025-05-30 11:44:07
Hallöchen	hiii	diminutive of hallo , cuter	2025-05-30 13:30:18
sorgenfrei	worry free	sorgen + frei	2025-05-30 13:33:18
verlaufen	to proceed	Tut mir leid zu hören, dass das Leben gerade nicht so optimal und sorgenfrei verläuft.	2025-05-30 13:36:18
die Phase	phase	Manchmal gibt es Phasen, in denen der (Uni-)Alltag etwas schwerer ist.	2025-05-30 13:39:18
schwer	hard / difficult / heavy		2025-05-30 13:42:18
die Besserung	recovery / improvement	Ich wünsche dir Besserung!	2025-05-30 13:45:18
sich melden	to get in touch / to report / to respond	„Melde dich gerne jederzeit bei mir, wenn ich etwas für dich tun kann oder wenn du etwas unternehmen oder einfach reden willst.“	2025-05-30 13:47:00
jederzeit	anytime		2025-05-30 13:48:18
unternehmen	to do / undertake	leisurely, social or adventurous	2025-05-30 13:54:18
reden	to talk	informally , in a conversation	2025-05-30 13:57:18
das Fall	case / situation	„Ich habe auf jeden Fall ein offenes Ohr.“  	2025-05-30 14:00:18
offen	open		2025-05-30 14:03:18
das Ohr	ear		2025-05-30 14:06:18
dranbleiben	to stick with it / to stay on it / persevere	„Schön, dass du an den Bananenbroten dran bleibst – sie werden deinen Eltern sicher gefallen!“	2025-05-30 14:09:18
gefallen	to please / to appeal / to be liked by someone 	to fall into liking	2025-05-30 14:12:18
sicher	safe / secure / sure / surely / certain		2025-05-30 14:15:18
tatsächlich	actually / indeed / in fact	„Zu meiner persönlich-Korrektur: Die war tatsächlich falsch von mir!“	2025-05-30 14:18:18
falsch	wrong		2025-05-30 14:21:18
peinlich	embarassing / painful	„O Gott wie peinlich 😵‍💫 –> persönlich ohne "h" ist korrekt!“	2025-05-30 14:24:18
die Pein	pain		2025-05-30 14:27:18
korrekt	correct		2025-05-30 14:30:18
ableiten	to derive / deduce	„Abgeleitet ist das Wort nämlich von der 'Person'.“	2025-05-30 14:33:18
die Ableitung	derivation / deduction		2025-05-30 14:36:18
leiten	to lead / direct / manage / guide		2025-05-30 14:39:18
Unten	downstairs	„Unten im Gym-Raum sehe ich immer deinen Handstand-Trainingsplan.. 'Respekt!' Sehr cool!“	2025-05-30 14:42:18
abenteuerlich	adventurous	„Mein Leben ist aktuell voll, viel und abenteuerlich wie immer.“	2025-05-30 14:45:18
vorhersagen	to predict / forecast	„Mein aufregender Sommer, den du vorhergesagt hast, hat begonnen.“	2025-05-30 14:48:18
der Kuss	kiss	„Am Freitag hatte ich meinen ersten Kuss.“	2025-05-30 14:51:18
erleben	to experience / to live through	„Es ist insane, wie viel Neues schönes ich gerade erlebe und welch tolle Menschen in mein Leben treten.“	2025-05-30 14:54:18
treten	to step / to enter / to kick		2025-05-30 14:57:18
grübeln	to ponder / to brood / to think deeply	„Aber ich grübele auch viel.“	2025-05-30 15:00:18
verkopft	overthinking / too much in head	„Also denke nach, bin verkopft.“	2025-05-30 15:03:18
sommerlich	summery	„Ich wünsche dir ein tolles sommerliches Wochenende!“	2025-05-30 15:06:18
Auf geht’s	lets go / up it goes	giulia	2025-05-31 08:30:00
Studierende	those who study	maya - Liebe Studierende,	2025-05-31 08:33:00
die Sitzlandschaft	seating area	giulia - cubicle	2025-05-31 08:36:00
der Kasten	rectangular container	maya - cubicle	2025-05-31 08:39:00
kraulen	freistil	simon - umgangssprache	2025-05-31 08:42:00
prokrastinieren	to procrastinate	giulia - Wozu brauchst du dein Handy? zum prokrastinieren	2025-05-31 08:45:00
die Umgangssprache	everyday talk	simon	2025-05-31 14:00:00
höllenlos	unleashed hell	hannes	2025-05-31 14:33:00
tatsächlich	actually	fritz	2025-05-31 15:40:00
geshikt	smart	giu hannes	2025-05-31 16:31:00
erenmenschen	earth friends	giulia simon	2025-05-31 16:40:00
der Teebeutel	tea bag/pouch	annso	2025-06-02 12:55:00
die Tasche	bag / pocket		2025-06-02 12:58:00
die Teekanne	teapot	Tee + Kanne	2025-06-02 13:01:00
die Teetasse	teacup	Tee + Tasse	2025-06-02 13:04:00
der Tee	tea		2025-06-02 13:07:00
Es braucht Zeit	it takes time	annso	2025-06-02 13:10:00
die Pinnwand	pinboard / pin wall	annso - pinnen + Wand	2025-06-02 13:13:00
werden	to become	ich werde in die Uni gehen	2025-06-02 13:16:00
Das schiebt anders!	that slaps	simon - chili öl	2025-06-02 20:55:00
themenfremd	off topic / foreign to the topic	Thema + fremd 	2025-06-02 20:55:00
Sehr gerne	very gladly / with pleasure 	simon - simonswald	2025-06-02 20:58:00
Wortgewandt	eloquent / articulate / word turner	simon	2025-06-02 21:01:00
schau mal hoch!	look up!	kahoot - automl	2025-06-03 12:58:55
die Worte	words (as speech/expressions)	Deine lieben Worte haben mir viel bedeutet.	2025-06-04 20:00:00
bedeuten	to mean		2025-06-04 20:03:00
der Moment	moment	Und danke, dass du diesen Moment mit mir geteilt hast	2025-06-04 20:06:00
besonder	special	Ein ganz besonderer Moment	2025-06-04 20:09:00
der Club	club	Wir sollten einen Club gründen – „Überdenk & Überren“?	2025-06-04 20:12:00
gründen	to found / to establish	grund: ground	2025-06-04 20:15:00
überdenken	to reconsider / to rethink / to think over		2025-06-04 20:18:00
überrennen	to overrun / to rush / to storm through		2025-06-04 20:21:00
Nur Spaß!	just kidding!		2025-06-04 20:24:00
das Haar	hair	Mit offenen Ohren (meine Haare liegen zwar meistens auf den Ohren, aber die hören trotzdem gut – oder ich mach mir einen Manbun XD)	2025-06-04 20:27:00
liegen	to lie / to be located 		2025-06-04 20:30:00
zwar … aber	indeed … but	auf meinem Weg gibt es zwar Autos, aber dafür keine Fußgänger!	2025-06-04 20:33:00
meistens	mostly / usually / most of the time	meist : most	2025-06-04 20:36:00
der Manbun	man bun		2025-06-04 20:39:00
der Deutschkurs 	german course/class	Ein aktuelles Highlight: Wundern mit dem Deutschkurs und der Lehrerin zum Zweiseitenblick.	2025-06-04 20:42:00
die Lehrerin	female teacher		2025-06-04 20:45:00
die Freude	joy	Es macht mich glücklich zu hören, wie viel Freude und Aufregung du gerade fühlst. 	2025-06-04 20:48:00
die Aufregung	excitement	up raining? up stirring?	2025-06-04 20:51:00
makellos	flawless / spotless / immaculate		2025-06-04 20:54:00
magisch	magical	Ich wünsche dir einen magischen Sommer voller weiterer erster Male und Glücksmomente.	2025-06-04 20:57:00
das Mal	instance / point in time	meal 🤯	2025-06-04 21:00:00
der Glücksmoment	moment of happiness		2025-06-04 21:03:00
der Heimrat	residence council		2025-06-04 21:06:00
vergessen	to forget	ver-gessen : un-grasp , to lose from memory	2025-06-04 21:09:00
der Füller	fountain pen	Schreibst du auch mit LAMY oder einen anderen Füller?	2025-06-04 21:12:00
bewegen	to move / to set smth in motion	giulia - ich muss mich bewegen	2025-06-06 17:09:37
kladderadatsch	mess	giulia	2025-06-07 03:50:00
schmackofatz	tatsy	giulia	2025-06-07 03:53:00
a e i o u sind vokale	x	giulia	2025-06-07 03:56:00
natur talent	x	giulia	2025-06-07 03:59:00
überflieger	x	giulia	2025-06-07 04:02:00
kann passieren	x	giulia	2025-06-07 04:05:00
einladung	invitation	giulia - danke für die einladung	2025-06-07 04:08:00
der Ausflug	excursion / short trip / day trip		2025-06-08 09:50:00
schmunzeln	to smile quietly / to smirk softly	„dein Brief hat mich echt zum Schmunzeln gebracht :)“ 	2025-06-08 09:53:11
bringen	to bring	gebracht	2025-06-08 09:56:11
fortgeschritten	advanced	„Und wow – jetzt bist du wirklich schon so fortgeschritten, dass du sogar meine Briefe korrigieren kannst!“	2025-06-08 09:59:11
die Pfingstpause	Pentecost break	Pfingsten (50 days after Easter)	2025-06-08 10:02:11
die Pause	break		2025-06-08 10:05:11
anspruchsvoll	demanding	„PS: danke! Ich bin gespannt, welche Aufgaben als Heimrat auf mich zukommen, und wie anspruchsvoll der Job ist.“ 	2025-06-08 10:08:11
irgendein	some 	„PS: No, ich habe irgendeinen Billo-Füller von „ONLINE“.“	2025-06-08 10:11:11
der Billo-Füller	cheap fountain pen	Billo : cheap (slang) from billig	2025-06-08 10:14:11
das Schloss	castle / palace	schlossberg , enclosed space	2025-06-08 10:17:11
Selbstbedienung	self service	lukas - server was woman in the old days	2025-06-13 13:29:24
vernaschen	tasty snack	tübingen tourist info cebtee chocolate	2025-06-13 13:32:24
einprägen	memorise?	ella strava - nochmal zum einprägen	2025-06-13 17:55:43
Forschende	researchers	those who research - „Ich hab viele interessante Leute und Forschende getroffen und tolle Gespräche gehabt“	2025-06-13 23:06:46
spannend	exciting	stretching - „Spannende Tage warten auf mich, voller Lesen“	2025-06-13 23:09:46
optimistisch	optimistic		2025-06-13 23:12:46
verbringen	to spend (time)	„Ich will auch gern Zeit mit dir verbringen“	2025-06-13 23:15:46
entschieden	to decide	„Wollen wir per Brief oder über WhatsApp entscheiden?“	2025-06-13 23:18:46
Bescheid sagen 	to let someone know / to inform someone		2025-06-13 23:21:46
stehen	to stand	„Auf dem Schlossberg stand einst die mittelalterliche Burg ‚castrum twingia‘ (1078).“	2025-06-13 23:37:54
einst	once (poetic)		2025-06-13 23:40:54
mittelalterlich	medieval		2025-06-13 23:43:54
sich befinden	to be located / to be situated / to find oneself	„Heute befinden sich in dem mächtigen Renaissance-Vierflügelbau aus dem 16. Jahrhundert Universitätsräume und das ‚Museum Alte Kulturen‘ mit seinen sehenswerten Sammlungen, darunter die ältesten Kunstwerke der Menschheit aus der Eiszeit wie das berühmte ‚Vogelherdpferdchen‘.“	2025-06-13 23:46:54
mächtig	mighty / powerful / massive		2025-06-13 23:49:54
die Renaissance	Renaissance		2025-06-13 23:52:54
der Vierflügelbau	four-wing building / four-winged structure		2025-06-13 23:55:54
das Jahrhundert 	century		2025-06-13 23:58:54
die Universitätsräume	university rooms		2025-06-14 00:01:54
die Kultur	culture		2025-06-14 00:04:54
sehenswert	worth seeing		2025-06-14 00:07:54
die Sammlung	collection		2025-06-14 00:10:54
darunter	among them / including / underneath it		2025-06-14 00:13:54
die Menschheit	humanity / mankind		2025-06-14 00:16:54
die Eiszeit	Ice age		2025-06-14 00:19:54
berühmt	famous		2025-06-14 00:22:54
Vogelherdpferdchen	little horse from Vogelherd		2025-06-14 00:25:54
malerisch	picturesque / scenic / painterish	„Die malerische Neckarfront mit ihren bedeutenden Gebäuden, den Stocherkähnen auf dem Neckar und dem Hölderlinturm ist die ‚Schokoladenseite‘ Tübingens.“	2025-06-14 00:28:54
die Neckarfront	riverside view along the Neckar		2025-06-14 00:31:54
bedeutend	significant / important		2025-06-14 00:34:54
das Gebäude	building		2025-06-14 00:37:54
der Stocherkahn	punting boat		2025-06-14 00:40:54
der Turm	tower / rook		2025-06-14 00:43:54
die Schokoladenseite	chocolate side / most beautiful side		2025-06-14 00:46:54
der Dichter	poet	„Im Turm lebte der Dichter Friedrich Hölderlin von 1807 bis zu seinem Tod 1843.“	2025-06-14 00:49:54
der Tod	death		2025-06-14 00:52:54
die Stube	room (old)	„Die ‚gute Stube‘ Tübingens ist der Marktplatz mit dem Neptunbrunnen und seinem historischen Rathaus aus dem Jahr 1435.“	2025-06-14 00:55:54
der Marktplatz 	marketplace / market square		2025-06-14 00:58:54
der Brunnen	fountsin / well		2025-06-14 01:01:54
historischen	historic / historical		2025-06-14 01:04:54
das Rathaus	town hall		2025-06-14 01:07:54
bemerkenswert	worthy of being noticed	„Bemerkenswert sind die Astronomische Uhr (1511) im Ziergiebel und die Sgraffitomalerei auf der Fassade (1877).“	2025-06-14 01:10:54
astronomisch	astronomical		2025-06-14 01:13:54
der Ziergiebel	decorative gable	 Zier = decoration, Giebel = gable , ornamented triangular section at the top of a wall	2025-06-14 01:16:54
die Fassade	facade / front of a building		2025-06-14 01:19:54
erbauen	to build / to construct 		2025-06-14 01:22:54
spätgotisch	late Gothic		2025-06-14 01:25:54
beherbergen	to accommodate / to be home to	„Sie beherbergt die Grablege des württembergischen Herrscherhauses.“	2025-06-14 01:28:54
die Grablege	the burial site / tomb	grab : grave , legeb : to lay , the laying of the graves	2025-06-14 01:31:54
das Herrscherhaus	ruling house / dynasty		2025-06-14 01:34:54
die Kostbarkeit	treasure / precious object	„Eine Kostbarkeit ist der Flügelaltar des Dürer-Schülers Hans Leonhard Schäufelein.“	2025-06-14 01:37:54
der Flügelaltar	winged altar		2025-06-14 01:40:54
der Hauptbahnhof 	main train station 	haupt + bahn + hof	2025-06-15 05:36:47
Almann	typical german	clemens	2025-06-15 20:51:16
das Möbelstück	furniture piece	carlota	2025-06-15 20:54:16
das Werkzeug	tool / work stuff	werk+zeug	2025-06-15 21:00:00
die Maurerkelle	bricklayer’s trowel	clemens - mauer+kelle	2025-06-15 21:03:00
das Gesellschaftsspiel	togethercomeness? game	carlota	2025-06-15 21:06:00
die Gesellschaft	society / company / companionship 	geselle+schaft - state of being in company with others	2025-06-15 21:09:00
der Geier	vulture(akbaba) / greedy person	clemens - simon - when someones greedy	2025-06-15 21:12:00
der Schotter	gravel / money(slang)	clemens - carlota - another thing for money	2025-06-15 21:15:00
die Kohle	coal / money(slang) 		2025-06-15 21:18:00
durfte	awesome / great (slang)	simon - alternative good - durften: to smell nice - old berlin slang for great	2025-06-15 21:24:00
die Mosel	moselle (river)	famous wine region	2025-06-15 21:27:00
Jetzt ab in die Falle!	bedtime! / now off into the trap!	simon - umgangssprachlich - falle: trap	2025-06-15 21:30:00
das Betthupferl	bettime treat	simon - bavarian - a little hop into bed - bett+hupferl	2025-06-15 21:31:00
bis bereit	r u ready	lea - bist du bereit?	2025-06-16 07:11:49
interessant	interesting	zeynep - inter+esse - to be between (catches attention)	2025-06-16 11:00:00
der Saldo	balance (financial)	zeynep - bufe billig	2025-06-16 11:03:00
der Teller	plate		2025-06-16 11:06:00
das Dessert	dessert	from french deservir - to clear the table - the food after the table is cleared - after meal - nachtisch	2025-06-16 11:09:00
die Summe	sum / total		2025-06-16 11:12:00
die Kartenzahlung	card payment	Karte+Zahlung	2025-06-16 11:15:00
der Zahlbetrag	amount to be paid / payment amount	zahlen+Betrag	2025-06-16 11:18:00
die Signatur 	signature		2025-06-16 11:21:00
der Algorithmus	algorithm	from arabic name!!! al-Khwārizmī	2025-06-16 11:24:00
der Besuch	visit		2025-06-16 11:27:00
der Stein	stone / rock	everyday word for small or single rock	2025-06-16 20:47:26
das Gestein	rock (geological) 	clemens - collective mass of stone	2025-06-16 20:50:26
das Kollektivum 	collective noun 	clemens - das Gestein reason	2025-06-16 21:00:00
das Gefüge	structure / framework	ge+fügen - fitting	2025-06-16 21:03:00
fügen	to join / to fit		2025-06-16 21:06:00
kulinarisches Kriegsverbrechen 	culinary war crime (joking)	simon - mc frühstückt	2025-06-16 21:09:00
McDoof	mcstupid	simon	2025-06-16 21:12:00
doof	stupid / silly		2025-06-16 21:15:00
Schabernack treiben	to fool around		2025-06-16 21:18:00
der Quatsch	nonsense	simon	2025-06-16 21:21:00
Quatsch mit Soße	nonsense with sauce	simon	2025-06-16 21:24:00
aufhören	to stop / to quit	simon	2025-06-16 21:27:00
der Topf	pot	madita	2025-06-16 21:30:00
beobachten	to observe	simon - Sehr gut beobachtet😂	2025-06-17 09:05:00
klasse 	classy / cool / great / awesome	“Ja, die Wanderung zum Kybfelsen finde ich auch klasse; das bin ich auch schon alleine gewandert.”	2025-06-17 16:02:50
alleine	alone / by oneself 	all+ein = all+one = alone 🤯	2025-06-17 16:05:50
die Runde	round	"Vielleicht könnten wir auch eine Runde im Seepark schwimmen und von der Brücke springen"	2025-06-17 16:08:00
das Kleinkind	toddler / small child	"Ich habe drei Tage auf ein Kleinkind aufgepasst (Babysitting) und ein bisschen Geld verdient."	2025-06-17 16:08:00
verdienen	to earn / to deserve		2025-06-17 16:11:00
der Höhenmeter	vertical meters / elevation gain	„Rennradeln (~265 km und 3400 hm diese Woche)“	2025-06-17 16:13:00
die Übernachtung	overnight stay	„Übernachtung am Opfinger See unter freiem Himmel”	2025-06-17 16:14:00
die Verabredung	social appointment / date		2025-06-17 16:17:00
der Bock	male goat / mood (slang)	Bock haben auf = to be in the mood for	2025-06-17 19:21:00
die Pflanze	plant	madita - hat ihrer sis tomatenpflanzen gegeben 	2025-06-17 19:24:00
Gute Reise!	have a good trip! / good journey!	madita	2025-06-17 19:27:00
Schönen Urlaub!	have a nice vacation! / beautiful vacation!	madita	2025-06-17 19:30:00
¡Buenas noches!	good night!	theo	2025-06-17 19:33:00
der Mehrwortausdruck	multi-word expression / phrase	dwds - mehr+wort+ausdruck - several word expression	2025-06-18 21:11:00
das Gummibärchen	gummy bear	ella - lokum - HARIBO - hans riegel bonn	2025-06-19 17:52:14
die Zuckerwatte	cotton candy / sugar cotton	ella - so many things u can make with sugar	2025-06-19 17:55:14
das Klettergrüst	climbing frame / jungle gym	ella - meal in balcony - klettern+gerüst	2025-06-19 17:58:14
engagiert	committed / dedicated / engaged	ella - gym cleaning	2025-06-19 18:01:14
regelmäßig	regularly	lena - ella - gym - regel+maßig - rule like	2025-06-19 18:04:14
die Katze	cat	simon - cat like dive	2025-06-19 21:11:00
der Hund	dog	clemens - Das ist ein alter Hund 	2025-06-20 20:07:05
mausen	to catch mice	fritz - clemens - simon mausen	2025-06-20 20:10:05
die Ingenieurwissenschaften	engineering sciences		2025-06-22 09:08:00
interviewen	to interview		2025-06-22 09:11:00
analysieren	to analyse		2025-06-22 09:17:00
